grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
1,0,2150240.0,0-2150240,2026-05-17 12:00:00,2026-05-17 13:00:00,APTMP,2 m above ground,1 hour fcst,,,,:APTMP:2 m above ground:1 hour fcst:
2,2150241,3780670.0,2150241-3780670,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCB,reserved,1 hour fcst,,,,:CDCB:reserved:1 hour fcst:
3,3780671,4711756.0,3780671-4711756,2026-05-17 12:00:00,2026-05-17 13:00:00,TCDC,reserved,1 hour fcst,,,,:TCDC:reserved:1 hour fcst:
4,4711757,6679878.0,4711757-6679878,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCTOP,reserved,1 hour fcst,,,,:CDCTOP:reserved:1 hour fcst:
5,6679879,8147241.0,6679879-8147241,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCB,reserved,1 hour fcst,,,,:CDCB:reserved:1 hour fcst:
6,8147242,8844461.0,8147242-8844461,2026-05-17 12:00:00,2026-05-17 13:00:00,TCDC,reserved,1 hour fcst,,,,:TCDC:reserved:1 hour fcst:
7,8844462,10401281.0,8844462-10401281,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCTOP,reserved,1 hour fcst,,,,:CDCTOP:reserved:1 hour fcst:
8,10401282,10600571.0,10401282-10600571,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCB,reserved,1 hour fcst,,,,:CDCB:reserved:1 hour fcst:
9,10600572,10807119.0,10600572-10807119,2026-05-17 12:00:00,2026-05-17 13:00:00,TCDC,reserved,1 hour fcst,,,,:TCDC:reserved:1 hour fcst:
10,10807120,11024053.0,10807120-11024053,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCTOP,reserved,1 hour fcst,,,,:CDCTOP:reserved:1 hour fcst:
11,11024054,11822885.0,11024054-11822885,2026-05-17 12:00:00,2026-05-17 13:00:00,CDCB,high cloud layer,1 hour fcst,,,,:CDCB:high cloud layer:1 hour fcst:
12,11822886,12228536.0,11822886-12228536,2026-05-17 12:00:00,2026-05-17 13:00:00,TCDC,high cloud layer,1 hour fcst,,,,:TCDC:high cloud layer:1 hour fcst:
13,12228537,14110145.0,12228537-14110145,2026-05-17 12:00:00,2026-05-17 13:00:00,CAPE,surface,1 hour fcst,,,,:CAPE:surface:1 hour fcst:
14,14110146,18244716.0,14110146-18244716,2026-05-17 12:00:00,2026-05-17 13:00:00,CAPE,surface,1 hour fcst,ens std dev,,,:CAPE:surface:1 hour fcst:ens std dev:
15,18244717,20193004.0,18244717-20193004,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud ceiling,1 hour fcst,,,,:CEIL:cloud ceiling:1 hour fcst:
16,20193005,21281656.0,20193005-21281656,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud ceiling,1 hour fcst,prob <304.8,prob fcst 3/7,probability forecast,:CEIL:cloud ceiling:1 hour fcst:prob <304.8:prob fcst 3/7:probability forecast:
17,21281657,22621260.0,21281657-22621260,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud ceiling,1 hour fcst,prob <609.6,prob fcst 4/7,probability forecast,:CEIL:cloud ceiling:1 hour fcst:prob <609.6:prob fcst 4/7:probability forecast:
18,22621261,23381122.0,22621261-23381122,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud ceiling,1 hour fcst,prob <152.4,prob fcst 2/7,probability forecast,:CEIL:cloud ceiling:1 hour fcst:prob <152.4:prob fcst 2/7:probability forecast:
19,23381123,24770058.0,23381123-24770058,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud ceiling,1 hour fcst,prob <914.5,prob fcst 5/7,probability forecast,:CEIL:cloud ceiling:1 hour fcst:prob <914.5:prob fcst 5/7:probability forecast:
20,24770059,26209097.0,24770059-26209097,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud ceiling,1 hour fcst,prob <2011.68,prob fcst 6/7,probability forecast,:CEIL:cloud ceiling:1 hour fcst:prob <2011.68:prob fcst 6/7:probability forecast:
21,26209098,29600567.0,26209098-29600567,2026-05-17 12:00:00,2026-05-17 13:00:00,CEIL,cloud base,1 hour fcst,,,,:CEIL:cloud base:1 hour fcst:
22,29600568,30496292.0,29600568-30496292,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,5% level,,,:CWASP:surface:1 hour fcst:5% level:
23,30496293,31401035.0,30496293-31401035,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,10% level,,,:CWASP:surface:1 hour fcst:10% level:
24,31401036,32290565.0,31401036-32290565,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,25% level,,,:CWASP:surface:1 hour fcst:25% level:
25,32290566,33176116.0,32290566-33176116,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,50% level,,,:CWASP:surface:1 hour fcst:50% level:
26,33176117,34070944.0,33176117-34070944,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,75% level,,,:CWASP:surface:1 hour fcst:75% level:
27,34070945,34995721.0,34070945-34995721,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,90% level,,,:CWASP:surface:1 hour fcst:90% level:
28,34995722,35930061.0,34995722-35930061,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,95% level,,,:CWASP:surface:1 hour fcst:95% level:
29,35930062,37294393.0,35930062-37294393,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,unknown derived fcst,,,:CWASP:surface:1 hour fcst:unknown derived fcst:
30,37294394,37869064.0,37294394-37869064,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,prob >50,prob fcst 255/255,,:CWASP:surface:1 hour fcst:prob >50:prob fcst 255/255:
31,37869065,38355316.0,37869065-38355316,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,prob >65,prob fcst 255/255,,:CWASP:surface:1 hour fcst:prob >65:prob fcst 255/255:
32,38355317,38830924.0,38355317-38830924,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,prob >70,prob fcst 255/255,,:CWASP:surface:1 hour fcst:prob >70:prob fcst 255/255:
33,38830925,39301824.0,38830925-39301824,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,prob >75,prob fcst 255/255,,:CWASP:surface:1 hour fcst:prob >75:prob fcst 255/255:
34,39301825,39770179.0,39301825-39770179,2026-05-17 12:00:00,2026-05-17 13:00:00,CWASP,surface,1 hour fcst,prob >85,prob fcst 255/255,,:CWASP:surface:1 hour fcst:prob >85:prob fcst 255/255:
35,39770180,41698895.0,39770180-41698895,2026-05-17 12:00:00,2026-05-17 13:00:00,DPT,2 m above ground,1 hour fcst,,,,:DPT:2 m above ground:1 hour fcst:
36,41698896,43706990.0,41698896-43706990,2026-05-17 12:00:00,2026-05-17 13:00:00,DPT,2 m above ground,1 hour fcst,ens std dev,,,:DPT:2 m above ground:1 hour fcst:ens std dev:
37,43706991,45700829.0,43706991-45700829,2026-05-17 12:00:00,2026-05-17 13:00:00,DSWRF,surface,1 hour fcst,,,,:DSWRF:surface:1 hour fcst:
38,45700830,47710626.0,45700830-47710626,2026-05-17 12:00:00,2026-05-17 13:00:00,RETOP,cloud top,1 hour fcst,,,,:RETOP:cloud top:1 hour fcst:
