grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
126,120163038,120664598.0,120163038-120664598,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",60% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:60% level:"
127,120664599,121175506.0,120664599-121175506,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",70% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:70% level:"
128,121175507,121694186.0,121175507-121694186,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",75% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:75% level:"
129,121694187,122218612.0,121694187-122218612,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",80% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:80% level:"
130,122218613,122768564.0,122218613-122768564,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",90% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:90% level:"
131,122768565,123337861.0,122768565-123337861,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",95% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:95% level:"
132,123337862,123912148.0,123337862-123912148,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"23-24 hour acc@(fcst,dt=1 hour),missing=0",99% level,,,":ASNOW:surface:23-24 hour acc@(fcst,dt=1 hour),missing=0:99% level:"
133,123912149,124435511.0,123912149-124435511,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,,,,:ASNOW:surface:23-24 hour acc fcst:
134,124435512,125003584.0,124435512-125003584,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.00254,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.00254:prob fcst 255/255:
135,125003585,125516441.0,125003585-125516441,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.0127,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.0127:prob fcst 255/255:
136,125516442,126009727.0,125516442-126009727,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.0254,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.0254:prob fcst 255/255:
137,126009728,126492452.0,126009728-126492452,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.0381,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.0381:prob fcst 255/255:
138,126492453,126970816.0,126492453-126970816,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.0508,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.0508:prob fcst 255/255:
139,126970817,127446436.0,126970817-127446436,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.0635,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.0635:prob fcst 255/255:
140,127446437,127920070.0,127446437-127920070,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.0762,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.0762:prob fcst 255/255:
141,127920071,128391343.0,127920071-128391343,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,23-24 hour acc fcst,prob >0.1016,prob fcst 255/255,,:ASNOW:surface:23-24 hour acc fcst:prob >0.1016:prob fcst 255/255:
142,128391344,128869481.0,128391344-128869481,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",1% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:1% level:"
143,128869482,129349446.0,128869482-129349446,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",5% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:5% level:"
144,129349447,129832581.0,129349447-129832581,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",10% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:10% level:"
145,129832582,130323118.0,129832582-130323118,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",20% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:20% level:"
146,130323119,130817780.0,130323119-130817780,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",25% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:25% level:"
147,130817781,131317597.0,130817781-131317597,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",30% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:30% level:"
148,131317598,131828980.0,131317598-131828980,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",40% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:40% level:"
149,131828981,132353027.0,131828981-132353027,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",50% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:50% level:"
150,132353028,132890441.0,132353028-132890441,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",60% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:60% level:"
151,132890442,133444291.0,132890442-133444291,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",70% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:70% level:"
152,133444292,134009486.0,133444292-134009486,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",75% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:75% level:"
153,134009487,134583573.0,134009487-134583573,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",80% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:80% level:"
154,134583574,135198649.0,134583574-135198649,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",90% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:90% level:"
155,135198650,135841305.0,135198650-135841305,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",95% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:95% level:"
156,135841306,136495587.0,135841306-136495587,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",99% level,,,":ASNOW:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:99% level:"
157,136495588,137071529.0,136495588-137071529,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,,,,:ASNOW:surface:18-24 hour acc fcst:
158,137071530,137677925.0,137071530-137677925,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.00254,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.00254:prob fcst 255/255:
159,137677926,138215131.0,137677926-138215131,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.0254,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.0254:prob fcst 255/255:
160,138215132,138728941.0,138215132-138728941,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.0508,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.0508:prob fcst 255/255:
161,138728942,139222500.0,138728942-139222500,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.1016,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.1016:prob fcst 255/255:
162,139222501,139706635.0,139222501-139706635,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.1524,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.1524:prob fcst 255/255:
163,139706636,140184957.0,139706636-140184957,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.2032,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.2032:prob fcst 255/255:
164,140184958,140660427.0,140184958-140660427,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.254,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.254:prob fcst 255/255:
165,140660428,141133998.0,140660428-141133998,2026-05-17 06:00:00,2026-05-18 06:00:00,ASNOW,surface,18-24 hour acc fcst,prob >0.3048,prob fcst 255/255,,:ASNOW:surface:18-24 hour acc fcst:prob >0.3048:prob fcst 255/255:
166,141133999,141771266.0,141133999-141771266,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOD,surface,24 hour fcst,,,,:SNOD:surface:24 hour fcst:
167,141771267,143207397.0,141771267-143207397,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOD,surface,24 hour fcst,prob >0.00254,prob fcst 255/255,,:SNOD:surface:24 hour fcst:prob >0.00254:prob fcst 255/255:
168,143207398,144417599.0,143207398-144417599,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOD,surface,24 hour fcst,prob >0.0127,prob fcst 255/255,,:SNOD:surface:24 hour fcst:prob >0.0127:prob fcst 255/255:
169,144417600,145432617.0,144417600-145432617,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOD,surface,24 hour fcst,prob >0.0254,prob fcst 255/255,,:SNOD:surface:24 hour fcst:prob >0.0254:prob fcst 255/255:
170,145432618,146654198.0,145432618-146654198,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,1% level,,,:SNOWLVL:surface:24 hour fcst:1% level:
171,146654199,147904494.0,146654199-147904494,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,5% level,,,:SNOWLVL:surface:24 hour fcst:5% level:
172,147904495,149155276.0,147904495-149155276,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,10% level,,,:SNOWLVL:surface:24 hour fcst:10% level:
173,149155277,150414889.0,149155277-150414889,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,20% level,,,:SNOWLVL:surface:24 hour fcst:20% level:
174,150414890,151675008.0,150414890-151675008,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,25% level,,,:SNOWLVL:surface:24 hour fcst:25% level:
175,151675009,152935664.0,151675009-152935664,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,30% level,,,:SNOWLVL:surface:24 hour fcst:30% level:
176,152935665,154200092.0,152935665-154200092,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,40% level,,,:SNOWLVL:surface:24 hour fcst:40% level:
177,154200093,155483920.0,154200093-155483920,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,50% level,,,:SNOWLVL:surface:24 hour fcst:50% level:
178,155483921,156750675.0,155483921-156750675,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,60% level,,,:SNOWLVL:surface:24 hour fcst:60% level:
179,156750676,158021377.0,156750676-158021377,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,70% level,,,:SNOWLVL:surface:24 hour fcst:70% level:
180,158021378,159294180.0,158021378-159294180,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,75% level,,,:SNOWLVL:surface:24 hour fcst:75% level:
181,159294181,160585601.0,159294181-160585601,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,80% level,,,:SNOWLVL:surface:24 hour fcst:80% level:
182,160585602,161861726.0,160585602-161861726,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,90% level,,,:SNOWLVL:surface:24 hour fcst:90% level:
183,161861727,163142244.0,161861727-163142244,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,95% level,,,:SNOWLVL:surface:24 hour fcst:95% level:
184,163142245,164387840.0,163142245-164387840,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,surface,24 hour fcst,99% level,,,:SNOWLVL:surface:24 hour fcst:99% level:
185,164387841,165515423.0,164387841-165515423,2026-05-17 06:00:00,2026-05-18 06:00:00,SNOWLVL,0 m above mean sea level,24 hour fcst,,,,:SNOWLVL:0 m above mean sea level:24 hour fcst:
186,165515424,165605705.0,165515424-165605705,2026-05-17 06:00:00,2026-05-18 06:00:00,HAILPROB,surface,20-24 hour acc fcst,prob >0,prob fcst 0/21,probability forecast,:HAILPROB:surface:20-24 hour acc fcst:prob >0:prob fcst 0/21:probability forecast:
187,165605706,165667977.0,165605706-165667977,2026-05-17 06:00:00,2026-05-18 06:00:00,TORPROB,surface,20-24 hour acc fcst,prob >0,prob fcst 0/21,probability forecast,:TORPROB:surface:20-24 hour acc fcst:prob >0:prob fcst 0/21:probability forecast:
188,165667978,165826480.0,165667978-165826480,2026-05-17 06:00:00,2026-05-18 06:00:00,WINDPROB,surface,20-24 hour acc fcst,prob >0,prob fcst 0/21,probability forecast,:WINDPROB:surface:20-24 hour acc fcst:prob >0:prob fcst 0/21:probability forecast:
189,165826481,166232503.0,165826481-166232503,2026-05-17 06:00:00,2026-05-18 06:00:00,TMP,surface,24 hour fcst,,,,:TMP:surface:24 hour fcst:
190,166232504,168206522.0,166232504-168206522,2026-05-17 06:00:00,2026-05-18 06:00:00,TMP,2 m above ground,24 hour fcst,,,,:TMP:2 m above ground:24 hour fcst:
191,168206523,170355164.0,168206523-170355164,2026-05-17 06:00:00,2026-05-18 06:00:00,TMP,2 m above ground,24 hour fcst,ens std dev,,,:TMP:2 m above ground:24 hour fcst:ens std dev:
192,170355165,171566576.0,170355165-171566576,2026-05-17 06:00:00,2026-05-18 06:00:00,TRWDIR,entire atmosphere (considered as a single layer),24 hour fcst,,,,:TRWDIR:entire atmosphere (considered as a single layer):24 hour fcst:
193,171566577,173593141.0,171566577-173593141,2026-05-17 06:00:00,2026-05-18 06:00:00,TRWSPD,entire atmosphere (considered as a single layer),24 hour fcst,,,,:TRWSPD:entire atmosphere (considered as a single layer):24 hour fcst:
194,173593142,174100041.0,173593142-174100041,2026-05-17 06:00:00,2026-05-18 06:00:00,THUNC,entire atmosphere,24-25 hour missing fcst,,,,:THUNC:entire atmosphere:24-25 hour missing fcst:
195,174100042,177053858.0,174100042-177053858,2026-05-17 06:00:00,2026-05-18 06:00:00,VIL,entire atmosphere,24 hour fcst,,,,:VIL:entire atmosphere:24 hour fcst:
196,177053859,177803947.0,177053859-177803947,2026-05-17 06:00:00,2026-05-18 06:00:00,VIS,surface,24 hour fcst,,,,:VIS:surface:24 hour fcst:
197,177803948,178121152.0,177803948-178121152,2026-05-17 06:00:00,2026-05-18 06:00:00,VIS,surface,24 hour fcst,prob <1609.34,prob fcst 2/6,probability forecast,:VIS:surface:24 hour fcst:prob <1609.34:prob fcst 2/6:probability forecast:
198,178121153,178496563.0,178121153-178496563,2026-05-17 06:00:00,2026-05-18 06:00:00,VIS,surface,24 hour fcst,prob <3218.69,prob fcst 3/6,probability forecast,:VIS:surface:24 hour fcst:prob <3218.69:prob fcst 3/6:probability forecast:
199,178496564,178924047.0,178496564-178924047,2026-05-17 06:00:00,2026-05-18 06:00:00,VIS,surface,24 hour fcst,prob <4828.03,prob fcst 4/6,probability forecast,:VIS:surface:24 hour fcst:prob <4828.03:prob fcst 4/6:probability forecast:
200,178924048,179522969.0,178924048-179522969,2026-05-17 06:00:00,2026-05-18 06:00:00,VIS,surface,24 hour fcst,prob <8046.73,prob fcst 5/6,probability forecast,:VIS:surface:24 hour fcst:prob <8046.73:prob fcst 5/6:probability forecast:
201,179522970,182951126.0,179522970-182951126,2026-05-17 06:00:00,2026-05-18 06:00:00,VRATE,entire atmosphere (considered as a single layer),24 hour fcst,,,,:VRATE:entire atmosphere (considered as a single layer):24 hour fcst:
202,182951127,184256322.0,182951127-184256322,2026-05-17 06:00:00,2026-05-18 06:00:00,WETGLBT,surface,24 hour fcst,,,,:WETGLBT:surface:24 hour fcst:
203,184256323,185497005.0,184256323-185497005,2026-05-17 06:00:00,2026-05-18 06:00:00,WDIR,30 m above ground,24 hour fcst,,,,:WDIR:30 m above ground:24 hour fcst:
204,185497006,186737688.0,185497006-186737688,2026-05-17 06:00:00,2026-05-18 06:00:00,WDIR,80 m above ground,24 hour fcst,,,,:WDIR:80 m above ground:24 hour fcst:
205,186737689,187978371.0,186737689-187978371,2026-05-17 06:00:00,2026-05-18 06:00:00,WDIR,10 m above ground,24 hour fcst,,,,:WDIR:10 m above ground:24 hour fcst:
206,187978372,189731919.0,187978372-189731919,2026-05-17 06:00:00,2026-05-18 06:00:00,GUST,10 m above ground,24 hour fcst,,,,:GUST:10 m above ground:24 hour fcst:
207,189731920,192090043.0,189731920-192090043,2026-05-17 06:00:00,2026-05-18 06:00:00,GUST,10 m above ground,24 hour fcst,ens std dev,,,:GUST:10 m above ground:24 hour fcst:ens std dev:
208,192090044,194159191.0,192090044-194159191,2026-05-17 06:00:00,2026-05-18 06:00:00,WIND,30 m above ground,24 hour fcst,,,,:WIND:30 m above ground:24 hour fcst:
209,194159192,196276693.0,194159192-196276693,2026-05-17 06:00:00,2026-05-18 06:00:00,WIND,80 m above ground,24 hour fcst,,,,:WIND:80 m above ground:24 hour fcst:
210,196276694,198294011.0,196276694-198294011,2026-05-17 06:00:00,2026-05-18 06:00:00,WIND,10 m above ground,24 hour fcst,,,,:WIND:10 m above ground:24 hour fcst:
211,198294012,,198294012-,2026-05-17 06:00:00,2026-05-18 06:00:00,WIND,10 m above ground,24 hour fcst,ens std dev,,,:WIND:10 m above ground:24 hour fcst:ens std dev:
