Date,5,4,3,2,1
1/1,None,96,88,71,<71
1/2,None,96,88,71,<71
1/3,None,96,88,71,<71
1/4,None,96,88,71,<71
1/5,None,96,88,71,<71
1/6,None,96,88,71,<71
1/7,None,96,88,71,<71
1/8,None,96,88,71,<71
1/9,None,96,88,71,<71
1/10,None,96,88,71,<71
1/11,None,96,88,71,<71
1/12,None,96,88,71,<71
1/13,None,96,88,71,<71
1/14,None,96,88,71,<71
1/15,None,96,88,71,<71
1/16,None,96,88,71,<71
1/17,None,96,88,71,<71
1/18,None,96,88,71,<71
1/19,None,96,88,71,<71
1/20,None,96,88,71,<71
1/21,None,96,88,71,<71
1/22,None,96,88,71,<71
1/23,None,96,88,71,<71
1/24,None,96,88,71,<71
1/25,None,96,88,71,<71
1/26,None,96,88,71,<71
1/27,None,96,88,71,<71
1/28,None,96,88,71,<71
1/29,None,96,88,71,<71
1/30,None,96,88,71,<71
1/31,None,96,88,71,<71
2/1,None,96,88,71,<71
2/2,None,96,88,71,<71
2/3,None,96,88,71,<71
2/4,None,96,88,71,<71
2/5,None,96,88,71,<71
2/6,None,96,88,71,<71
2/7,None,96,88,71,<71
2/8,None,96,88,71,<71
2/9,None,96,88,71,<71
2/10,None,96,88,71,<71
2/11,None,96,88,71,<71
2/12,None,96,88,71,<71
2/13,None,96,88,71,<71
2/14,None,96,88,71,<71
2/15,None,96,88,71,<71
2/16,None,96,88,71,<71
2/17,None,96,88,71,<71
2/18,None,96,88,71,<71
2/19,None,96,88,71,<71
2/20,None,96,88,71,<71
2/21,None,96,88,71,<71
2/22,None,96,88,71,<71
2/23,None,96,88,71,<71
2/24,None,96,88,71,<71
2/25,None,96,88,71,<71
2/26,None,96,88,71,<71
2/27,None,96,88,71,<71
2/28,None,96,88,71,<71
3/1,None,96,88,71,<71
3/2,None,96,88,71,<71
3/3,None,96,88,71,<71
3/4,None,96,88,71,<71
3/5,None,96,88,71,<71
3/6,None,96,88,71,<71
3/7,None,96,88,71,<71
3/8,None,96,88,71,<71
3/9,None,96,88,71,<71
3/10,None,96,88,71,<71
3/11,None,96,88,71,<71
3/12,None,96,88,71,<71
3/13,None,96,88,71,<71
3/14,None,96,88,71,<71
3/15,None,96,88,71,<71
3/16,None,96,88,71,<71
3/17,None,96,88,71,<71
3/18,None,96,88,71,<71
3/19,None,96,88,71,<71
3/20,None,96,88,71,<71
3/21,None,96,88,71,<71
3/22,None,96,88,71,<71
3/23,None,96,88,71,<71
3/24,None,96,88,71,<71
3/25,None,96,88,71,<71
3/26,None,96,88,71,<71
3/27,None,96,88,71,<71
3/28,None,96,88,71,<71
3/29,None,96,88,71,<71
3/30,None,96,88,71,<71
3/31,None,96,88,71,<71
4/1,None,96,88,71,<71
4/2,None,96,88,71,<71
4/3,None,96,88,71,<71
4/4,None,96,88,71,<71
4/5,None,96,88,71,<71
4/6,None,96,88,71,<71
4/7,None,96,88,71,<71
4/8,None,96,88,71,<71
4/9,None,96,88,71,<71
4/10,None,96,88,71,<71
4/11,None,96,88,71,<71
4/12,None,96,88,71,<71
4/13,None,96,88,71,<71
4/14,None,96,88,71,<71
4/15,None,96,88,71,<71
4/16,None,96,88,71,<71
4/17,None,96,88,71,<71
4/18,None,96,88,71,<71
4/19,None,96,88,71,<71
4/20,None,96,88,71,<71
4/21,None,96,88,71,<71
4/22,None,96,88,71,<71
4/23,None,96,88,71,<71
4/24,None,96,88,71,<71
4/25,None,96,88,71,<71
4/26,None,96,88,71,<71
4/27,None,96,88,71,<71
4/28,None,96,88,71,<71
4/29,None,96,88,71,<71
4/30,None,96,88,71,<71
5/1,None,96,88,71,<71
5/2,None,96,88,71,<71
5/3,None,96,88,71,<71
5/4,None,96,88,71,<71
5/5,None,96,88,71,<71
5/6,None,96,88,71,<71
5/7,None,96,88,71,<71
5/8,None,96,88,71,<71
5/9,None,96,88,71,<71
5/10,None,96,88,71,<71
5/11,None,96,88,71,<71
5/12,None,96,88,71,<71
5/13,None,96,88,71,<71
5/14,None,96,88,71,<71
5/15,None,96,88,71,<71
5/16,None,96,88,71,<71
